Timestamp,Gender,Nationality/Country of Origin,Which of the following qualifications best describes you?,Do you know how to use functions in R? ,"Do you already use the tidyverse packages in R such as dplyr, tidyr, tibble and ggplot2? ",Do you need to analyse large collections of related time series? ,"Would you like to learn how to use some tidy tools for time series analysis including visualization, decomposition and forecasting? ",Which of the two modes of learning will be suitable for you?
7/25/2023 10:37,Male,Malawi,MSc Student,No,No,Yes,Yes,Online
7/25/2023 12:17,Male,Malawi,Senior Researcher,Yes,Yes,Yes,Yes,Online
7/25/2023 12:25,Male,Malawian,MSc Student,No,No,Yes,Yes,Online
7/25/2023 13:29,Male,MALAWIAN ,Undergraduate Student ,No,No,Yes,Yes,Online
7/25/2023 17:31,Male,Malawi,Junior Researcher,No,No,Yes,Yes,Online
7/25/2023 17:36,Male,Malawian,Junior Researcher,Yes,No,Yes,Yes,Online
7/25/2023 19:27,Male,Malawi,Junior Researcher,No,No,Yes,Yes,Online
7/25/2023 19:40,Female,Malawi,PhD Student,Yes,Yes,Yes,Yes,Online
7/25/2023 20:23,Male,Malawi ,Msc holder,No,No,Yes,Yes,Online
7/25/2023 21:04,Male,MALAWI,Junior Researcher,No,No,Yes,Yes,Online
7/25/2023 21:29,Male,Malawi ,MSc Student,Yes,Yes,Yes,Yes,Physical
7/25/2023 22:42,Male,Malawian ,Junior Researcher,No,No,Yes,Yes,Online
7/26/2023 0:56,Male,Malawi ,Junior Researcher,No,No,Yes,Yes,Online
7/26/2023 8:22,Male,Malawi,Junior Researcher,Yes,No,Yes,Yes,"Physical, Online"
7/26/2023 8:34,Male,Malawian,MSc Student,Yes,No,Yes,Yes,Physical
7/26/2023 9:51,Male,Malawian,MSc Student,No,No,Yes,Yes,Physical
7/26/2023 13:24,Male,Malawian,Junior Researcher,No,No,Yes,Yes,Physical
7/26/2023 15:39,Male,Malawian ,MSc Student,Yes,No,Yes,Yes,Online
7/26/2023 18:13,Male,Malawian ,Senior Researcher,Yes,Yes,Yes,Yes,Physical
7/27/2023 9:59,Male,Malawian,Junior Researcher,No,No,Yes,Yes,Physical
7/28/2023 8:48,Female,Malawian,Junior Researcher,No,No,No,Yes,Online
7/28/2023 12:36,Male,Malawian ,Junior Researcher,Yes,No,Yes,Yes,Online
7/30/2023 20:10,Male,Malawi,Senior Researcher,Yes,Yes,Yes,Yes,Online
7/31/2023 12:32,Male,Malawi,MSc Student,No,No,No,Yes,Online
7/31/2023 12:50,Female,Zambia,MSc Student,Yes,No,Yes,Yes,Online
7/31/2023 13:00,Male,Malawi,Degree Student ,No,No,Yes,Yes,Online
7/31/2023 13:00,Male,Malawi,Degree Student,No,No,Yes,Yes,Online
7/31/2023 21:55,Male,Malawian,Accountant ,No,No,Yes,Yes,Online
8/1/2023 19:07,Male,Malawian,Undegraduate student,Yes,No,Yes,Yes,Online
8/1/2023 20:09,Female,Malawi,MSc Student,No,No,Yes,Yes,Online
8/3/2023 10:17,Female,Malawi ,BSc ,No,No,Yes,Yes,Online
8/6/2023 14:47,Male,Rwanda,PhD Student,Yes,No,Yes,Yes,Physical
8/9/2023 17:39,Female,Malawian,Senior Researcher,No,No,Yes,Yes,Online
8/10/2023 6:50,Male,Malawian,Junior Researcher,No,No,Yes,Yes,Online
8/10/2023 13:03,Female,Kenya-,Junior Researcher,No,No,Yes,Yes,Physical
8/12/2023 6:44,Male,Malawi,Junior Researcher,No,No,Yes,Yes,Online
8/17/2023 16:00,Female,Tanzania ,Senior Researcher,No,No,Yes,Yes,Online
8/17/2023 16:12,Female,Nigeria,PhD Student,No,No,No,Yes,Physical
8/17/2023 16:13,Male,Nigeria ,Senior Researcher,No,No,Yes,Yes,"Physical, Online"
8/17/2023 16:15,Male,Tanzania,Lecturer,No,No,Yes,Yes,Online
8/17/2023 16:21,Female,Nigeria ,PhD Student,No,No,Yes,Yes,Physical
8/17/2023 16:26,Female,Malawi ,BSc student ,No,No,No,Yes,Physical
8/17/2023 16:26,Male,Nigeria ,PostDoc Student,No,No,No,Yes,Online
8/17/2023 16:28,Female,TANZANIA,PhD Student,Yes,Yes,Yes,Yes,Online
8/17/2023 16:29,Male,Nigeria,PhD Student,No,No,Yes,Yes,Online
8/17/2023 16:36,Male,Tanzania,Junior Researcher,No,No,Yes,Yes,Online
8/17/2023 16:37,Female,Nigeria,PhD Student,No,No,Yes,Yes,Online
8/17/2023 16:40,Male,Tanzania,Data Analyst ,Yes,Yes,Yes,Yes,Online
8/17/2023 16:41,Male,ZANZIBAR ,Junior Researcher,No,No,Yes,Yes,Online
8/17/2023 16:41,Male,Malawian,Alumnus,No,No,Yes,Yes,Physical
8/17/2023 16:44,Male,TANZANIA ,Junior Researcher,No,No,Yes,Yes,Online
8/17/2023 16:45,Male,Tanzanian,MSc Student,No,No,Yes,Yes,Online
8/17/2023 16:45,Male,Tanzanian,MSc Student,No,No,Yes,Yes,"Physical, Online"
8/17/2023 16:48,Male,Malawi,Junior Researcher,No,No,Yes,Yes,Online
8/17/2023 16:50,Male,Beninese,PhD Student,No,No,Yes,Yes,Online
8/17/2023 16:50,Male,Tanzanian,Junior Researcher,Yes,No,Yes,Yes,Online
8/17/2023 16:53,Male,Tanzania ,Bachelor degree ,Yes,Yes,Yes,Yes,"Physical, Online"
8/17/2023 16:54,Male,TANZANIAN,Junior Researcher,No,No,Yes,Yes,Online
8/17/2023 17:05,Male,Tanzania,Junior Researcher,No,No,Yes,Yes,Online
8/17/2023 17:07,Male,Tanzania,Senior Researcher,Yes,Yes,Yes,Yes,Online
8/17/2023 17:16,Female,Malawi,Undergraduate student,No,No,Yes,Yes,Online
8/17/2023 17:33,Female,South Africa,PhD Student,Yes,No,No,Yes,Online
8/17/2023 17:42,Male,Tanzania ,Junior Researcher,No,No,Yes,Yes,Online
8/17/2023 17:45,Male,Malawia,Junior Researcher,No,Yes,Yes,Yes,Online
8/17/2023 17:52,Male,Malawi,Junior Researcher,No,No,Yes,Yes,Online
8/17/2023 17:59,Female,Malawi ,PhD Student,Yes,Yes,Yes,Yes,Online
8/17/2023 19:27,Female,Uganda ,PhD Student,No,No,Yes,Yes,"Physical, Online"
8/17/2023 19:32,Female,Malawi,Senior Researcher,Yes,No,Yes,Yes,Physical
8/17/2023 20:26,Female,Tanzania ,MSc graduate seeking PhD position ,Yes,Yes,Yes,Yes,Online
8/17/2023 21:14,Female,Cameroon,PhD Student,Yes,No,Yes,Yes,Online
8/17/2023 21:20,Female,Malawi,Junior Researcher,,,,,
